車廠	自動車工場	ㄔㄜ ㄔㄤˇ / chē chǎng
海洋	海洋	ㄏㄞˇ ㄧㄤˊ / hǎi yáng
婚姻	婚姻	ㄏㄨㄣ ㄧㄣ / hūn yīn
帶來	もたらす	ㄉㄞˋ ㄌㄞˊ / dài lái
創業	創業する	ㄔㄨㄤˋ ㄧㄝˋ / chuàng yè
領導有方	指導が適切である	ㄌㄧㄥˇ ㄉㄠˇ ㄧㄡˇ ㄈㄤ / lǐng dǎo yǒu fāng
機器	機械	ㄐㄧ ㄑㄧˋ / jī qì
不如	～に及ばない	ㄅㄨˋ ㄖㄨˊ / bù rú
血液	血液	ㄒㄧㄝˇ ㄧㄝˋ / xiě yè
例子	例	ㄌㄧˋ ˙ㄗ / lì zi
紀錄	記録	ㄐㄧˋ ㄌㄨˋ / jì lù
革命	革命	ㄍㄜˊ ㄇㄧㄥˋ / gé mìng
將來	将来	ㄐㄧㄤ ㄌㄞˊ / jiāng lái
現場	現場	ㄒㄧㄢˋ ㄔㄤˇ / xiàn chǎng
責任	責任	ㄗㄜˊ ㄖㄣˋ / zé rèn
評估	評価する	ㄆㄧㄥˊ ㄍㄨ / píng gū
進一步	さらに一歩進んで	ㄐㄧㄣˋ ㄧ ㄅㄨˋ / jìn yī bù
工人	労働者	ㄍㄨㄥ ㄖㄣˊ / gōng rén
心態	心理状態	ㄒㄧㄣ ㄊㄞˋ / xīn tài
出版	出版する	ㄔㄨ ㄅㄢˇ / chū bǎn
作家	作家	ㄗㄨㄛˋ ㄐㄧㄚ / zuò jiā
技巧	テクニック	ㄐㄧˋ ㄑㄧㄠˇ / jì qiǎo
尚未	まだ～ない	ㄕㄤˋ ㄨㄟˋ / shàng wèi
真的	本当に	ㄓㄣ ˙ㄉㄜ / zhēn de
高級	高級な	ㄍㄠ ㄐㄧˊ / gāo jí
理論	理論	ㄌㄧˇ ㄌㄨㄣˋ / lǐ lùn
答案	答え	ㄉㄚˊ ㄢˋ / dá àn
課程	課程	ㄎㄜˋ ㄔㄥˊ / kè chéng
鄧小平	鄧小平	ㄉㄥˋ ㄒㄧㄠˇ ㄆㄧㄥˊ / Dèng Xiǎo píng
戰爭	戦争	ㄓㄢˋ ㄓㄥ / zhàn zhēng
隨時	いつでも	ㄙㄨㄟˊ ㄕˊ / suí shí
公平	公平な	ㄍㄨㄥ ㄆㄧㄥˊ / gōng píng
手術	手術	ㄕㄡˇ ㄕㄨˋ / shǒu shù
日子	日々	ㄖˋ ˙ㄗ / rì zi
火車	列車	ㄏㄨㄛˇ ㄔㄜ / huǒ chē
皮膚	皮膚	ㄆㄧˊ ㄈㄨ / pí fū
取代	取って代わる	ㄑㄩˇ ㄉㄞˋ / qǔ dài
恐怕	恐らく	ㄎㄨㄥˇ ㄆㄚˋ / kǒng pà
病患	患者	ㄅㄧㄥˋ ㄏㄨㄢˋ / bìng huàn
真實	真実の	ㄓㄣ ㄕˊ / zhēn shí
參考	参考にする	ㄘㄢ ㄎㄠˇ / cān kǎo
理念	理念	ㄌㄧˇ ㄋㄧㄢˋ / lǐ niàn
童年	幼少期	ㄊㄨㄥˊ ㄋㄧㄢˊ / tóng nián
漂亮	綺麗な	ㄆㄧㄠˋ ㄌㄧㄤˋ / piào liàng
舞臺	舞台	ㄨˇ ㄊㄞˊ / wǔ tái
文字	文字	ㄨㄣˊ ㄗˋ / wén zì
文章	文章	ㄨㄣ ㄓㄤ / wén zhāng
以來	～以来	ㄧˇ ㄌㄞˊ / yǐ lái
仔細	注意深く	ㄗˇ ㄒㄧˋ / zǐ xì
本土	本土の	ㄅㄣˇ ㄊㄨˇ / běn tǔ
休息	休憩する	ㄒㄧㄡ ㄒㄧˊ / xiū xí
居住	居住する	ㄐㄩ ㄓㄨˋ / jū zhù
拒絕	拒絶する	ㄐㄩˋ ㄐㄩㄝˊ / jù jué
哥倫布	コロンブス	ㄍㄜ ㄌㄨㄣˊ ㄅㄨˋ / Gē lún bù
基金	基金	ㄐㄧ ㄐㄧㄣ / jī jīn
等待	待つ	ㄉㄥˇ ㄉㄞˋ / děng dài
超越	超越する	ㄔㄠ ㄩㄝˋ / chāo yuè
醫療	医療	ㄧ ㄌㄧㄠˊ / yī liáo
龐大	莫大な	ㄆㄤˊ ㄉㄚˋ / páng dà
天氣	天気	ㄊㄧㄢ ㄑㄧˋ / tiān qì
心算	暗算	ㄒㄧㄣ ㄙㄨㄢˋ / xīn suàn
生病	病気になる	ㄕㄥ ㄅㄧㄥˋ / shēng bìng
負擔	負担	ㄈㄨˋ ㄉㄢ / fù dān
候選人	候補者	ㄏㄡˋ ㄒㄩㄢˇ ㄖㄣˊ / hòu xuǎn rén
財產	財産	ㄘㄞˊ ㄔㄢˇ / cái chǎn
高度	高度な	ㄍㄠ ㄉㄨˋ / gāo dù
景觀	景観	ㄐㄧㄥˇ ㄍㄨㄢ / jǐng guān
象徵	象徴	ㄒㄧㄤˋ ㄓㄥ / xiàng zhēng
漫畫	漫画	ㄇㄢˋ ㄏㄨㄚˋ / màn huà
稱為	～と呼ばれる	ㄔㄥ ㄨㄟˊ / chēng wéi
懷疑	疑う	ㄏㄨㄞˊ ㄧˊ / huái yí
女子	女子	ㄋㄩˇ ㄗˇ / nǚ zǐ
中學	中学校	ㄓㄨㄥ ㄒㄩㄝˊ / zhōng xué
心裡	心の中	ㄒㄧㄣ ㄌㄧˇ / xīn lǐ
市長	市長	ㄕˋ ㄓㄤˇ / shì zhǎng
保障	保障する	ㄅㄠˇ ㄓㄤˋ / bǎo zhàng
期待	期待する	ㄑㄧˊ ㄉㄞˋ / qí dài
誕生	誕生する	ㄉㄢˋ ㄕㄥ / dàn shēng
人民幣	人民元	ㄖㄣˊ ㄇㄧㄣˊ ㄅㄧˋ / rén mín bì
多數	多数	ㄉㄨㄛ ㄕㄨˋ / duō shù
完整	完全な	ㄨㄢˊ ㄓㄥˇ / wán zhěng
男女	男女	ㄋㄢˊ ㄋㄩˇ / nán nǚ
效率	効率	ㄒㄧㄠˋ ㄌㄩˋ / xiào lǜ
提前	前倒しする	ㄊㄧˊ ㄑㄧㄢˊ / tí qián
輸出	輸出する	ㄕㄨ ㄔㄨ / shū chū
優勢	優位性	ㄧㄡ ㄕˋ / yōu shì
雙方	双方	ㄕㄨㄤ ㄈㄤ / shuāng fāng
