分開	分かれる/別れる	ㄈㄣ ㄎㄞ / fēn kāi
分數	点数/成績/分数	ㄈㄣ ㄕㄨˋ / fēn shù
手上	手元/手に	ㄕㄡˇ ㄕㄤˋ / shǒu shàng
水泥	セメント	ㄕㄨㄟˇ ㄋㄧˊ / shuǐ ní
火星	火星	ㄏㄨㄛˇ ㄒㄧㄥ / huǒ xīng
可憐	かわいそう	ㄎㄜˇ ㄌㄧㄢˊ / kě lián
可觀	かなりの/見事な	ㄎㄜˇ ㄍㄨㄢ / kě guān
失蹤	失踪する	ㄕ ㄗㄨㄥ / shī zōng
列車	列車	ㄌㄧㄝˋ ㄔㄜ / liè chē
合法	合法	ㄏㄜˊ ㄈㄚˇ / hé fǎ
合唱團	合唱団	ㄏㄜˊ ㄔㄤˋ ㄊㄨㄢˊ / hé chàng tuán
地帶	地帯	ㄉㄧˋ ㄉㄞˋ / dì dài
多元	多元的/多様な	ㄉㄨㄛ ㄩㄢˊ / duō yuán
多元化	多様化	ㄉㄨㄛ ㄩㄢˊ ㄏㄨㄚˋ / duō yuán huà
多半	大半/たぶん	ㄉㄨㄛ ㄅㄢˋ / duō bàn
守法	法律を守る	ㄕㄡˇ ㄈㄚˇ / shǒu fǎ
西部	西部	ㄒㄧ ㄅㄨˋ / xī bù
忍不住	我慢できない	ㄖㄣˇ ㄅㄨˋ ㄓㄨˋ / rěn bù zhù
技能	技能	ㄐㄧˋ ㄋㄥˊ / jì néng
找出	見つけ出す	ㄓㄠˇ ㄔㄨ / zhǎo chū
罕見	珍しい	ㄏㄢˇ ㄐㄧㄢˋ / hǎn jiàn
依舊	相変わらず	ㄧ ㄐㄧㄡˋ / yī jiù
受訪者	インタビュー対象者	ㄕㄡˋ ㄈㄤˇ ㄓㄜˇ / shòu fǎng zhě
奉獻	貢献する/捧げる	ㄈㄥˋ ㄒㄧㄢˋ / fèng xiàn
延長	延長する	ㄧㄢˊ ㄔㄤˊ / yán cháng
性行為	性行為	ㄒㄧㄥˋ ㄒㄧㄥˊ ㄨㄟˊ / xìng xíng wéi
性病	性病	ㄒㄧㄥˋ ㄅㄧㄥˋ / xìng bìng
招待	招待する	ㄓㄠ ㄉㄞˋ / zhāo dài
拓展	開拓する/広げる	ㄊㄨㄛˋ ㄓㄢˇ / tuò zhǎn
拔牙	歯を抜く	ㄅㄚˊ ㄧㄚˊ / bá yá
拍賣	オークション/セール	ㄆㄞ ㄇㄞˋ / pāi mài
河流	河川/川	ㄏㄜˊ ㄌㄧㄡˊ / hé liú
股東	株主	ㄍㄨˇ ㄉㄨㄥ / gǔ dōng
長度	長さ	ㄔㄤˊ ㄉㄨˋ / cháng dù
前者	前者	ㄑㄧㄢˊ ㄓㄜˇ / qián zhě
思索	思索する	ㄙ ㄙㄨㄛˇ / sī suǒ
挑選	選ぶ	ㄊㄧㄠ ㄒㄩㄢˇ / tiāo xuǎn
政客	政治屋/政治家	ㄓㄥˋ ㄎㄜˋ / zhèng kè
珊瑚	サンゴ	ㄕㄢ ㄏㄨˊ / shān hú
美學	美学	ㄇㄟˇ ㄒㄩㄝˊ / měi xué
風潮	風潮/ブーム	ㄈㄥ ㄔㄠˊ / fēng cháo
原理	原理	ㄩㄢˊ ㄌㄧˇ / yuán lǐ
夏日	夏の日	ㄒㄧㄚˋ ㄖˋ / xià rì
師資	教員/指導陣	ㄕ ㄗ / shī zī
旅客	旅客/旅行者	ㄌㄩˇ ㄎㄜˋ / lǚ kè
時段	時間帯	ㄕˊ ㄉㄨㄢˋ / shí duàn
消毒	消毒する	ㄒㄧㄠ ㄉㄨˊ / xiāo dú
珠算	珠算/そろばん	ㄓㄨ ㄙㄨㄢˋ / zhū suàn
留學生	留学生	ㄌㄧㄡˊ ㄒㄩㄝˊ ㄕㄥ / liú xué shēng
專輯	アルバム/特集	ㄓㄨㄢ ㄐㄧˊ / zhuān jí
崇拜	崇拝する	ㄔㄨㄥˊ ㄅㄞˋ / chóng bài
常識	常識	ㄔㄤˊ ㄕˋ / cháng shì
情報	情報	ㄑㄧㄥˊ ㄅㄠˋ / qíng bào
情懷	気持ち/感情	ㄑㄧㄥˊ ㄏㄨㄞˊ / qíng huái
排除	排除する	ㄆㄞˊ ㄔㄨˊ / pái chú
清涼	清涼な/涼しい	ㄑㄧㄥ ㄌㄧㄤˊ / qīng liáng
混亂	混乱する	ㄏㄨㄣˋ ㄌㄨㄢˋ / hùn luàn
率先	率先する	ㄕㄨㄞˋ ㄒㄧㄢ / shuài xiān
