腿	足	ㄊㄨㄟˇ / tuǐ
磨	磨く	ㄇㄛˊ / mó
怒	怒る	ㄋㄨˋ / nù
捉	捉える	ㄓㄨㄛ / zhuō
嬰	赤ん坊	ㄧㄥ / yīng
娃	子供	ㄨㄚˊ / wá
棋	将棋	ㄑㄧˊ / qí
蝶	蝶	ㄉㄧㄝˊ / dié
爐	炉	ㄌㄨˊ / lú
夕	夕方	ㄒㄧˋ / xì
君	君	ㄐㄩㄣ / jūn
聊	おしゃべりする	ㄌㄧㄠˊ / liáo
魂	魂	ㄏㄨㄣˊ / hún
讚	讃える	ㄗㄢˋ / zàn
予	与える	ㄩˇ / yǔ
赤	赤い	ㄔˋ / chì
唐	唐	ㄊㄤˊ / táng
暫	暫く	ㄓㄢˋ / zhàn
屏	屏風	ㄆㄧㄥˊ / píng
恨	恨む	ㄏㄣˋ / hèn
曼	曼	ㄇㄢˋ / màn
啡	コーヒー	ㄈㄟ / fēi
諸	諸々の	ㄓㄨ / zhū
韓	韓	ㄏㄢˊ / hán
擾	乱す	ㄖㄠˇ / rǎo
躍	躍る	ㄩㄝˋ / yuè
臣	臣	ㄔㄣˊ / chén
拒	拒む	ㄐㄩˋ / jù
垂	垂れる	ㄔㄨㄟˊ / chuí
姿	姿	ㄗ / zī
貞	貞しい	ㄓㄣ / zhēn
宿	宿る	ㄙㄨˋ / sù
祭	祭る	ㄐㄧˋ / jì
咖	コーヒー	ㄎㄚ / kā
借	借りる	ㄐㄧㄝˋ / jiè
勒	勒める	ㄌㄜˋ / lè
殖	殖やす	ㄓˊ / zhí
碗	お椀	ㄨㄢˇ / wǎn
遷	移る	ㄑㄧㄢ / qiān
礎	礎	ㄔㄨˇ / chǔ
掃	掃く	ㄙㄠˇ / sǎo
雕	彫る	ㄉㄧㄠ / diāo
麵	麺	ㄇㄧㄢˋ / miàn
肩	肩	ㄐㄧㄢ / jiān
埃	ほこり	ㄞ / āi
痕	痕	ㄏㄣˊ / hén
碼	記号	ㄇㄚˇ / mǎ
鎖	鎖	ㄙㄨㄛˇ / suǒ
尿	尿	ㄋㄧㄠˋ / niào
肚	お腹	ㄉㄨˋ / dù
勁	力	ㄐㄧㄥˋ / jìng
勤	勤める	ㄑㄧㄣˊ / qín
井	井戸	ㄐㄧㄥˇ / jǐng
措	措置	ㄘㄨㄛˋ / cuò
姓	姓	ㄒㄧㄥˋ / xìng
抬	持ち上げる	ㄊㄞˊ / tái
梯	梯子	ㄊㄧ / tī
湯	スープ	ㄊㄤ / tāng
紫	紫	ㄗˇ / zǐ
醉	酔う	ㄗㄨㄟˋ / zu zuì
眉	眉	ㄇㄟˊ / méi
欲	欲する	ㄩˋ / yù
匆	急ぐ	ㄘㄨㄥ / cōng
側	側	ㄘㄜˋ / cè
淺	浅い	ㄑㄧㄢˇ / qiǎn
貸	貸す	ㄉㄞˋ / dài
鼠	鼠	ㄕㄨˇ / shǔ
擦	擦る	ㄘㄚ / cā
霧	霧	ㄨˋ / wù
召	召す	ㄓㄠˋ / zhào
杯	杯	ㄅㄟ / bēi
胖	太る	ㄆㄤˋ / pàng
