高速公路	高速道路	ㄍㄠ ㄙㄨˋ ㄍㄨㄥ ㄌㄨˋ / gāo sù gōng lù
高樓	高層ビル	ㄍㄠ ㄌㄡˊ / gāo lóu
動手	手を出す/着手する	ㄉㄨㄥˋ ㄕㄡˇ / dòng shǒu
強勁	力強い/強力な	ㄑㄧㄤˊ ㄐㄧㄥˋ / qiáng jìng
彩繪	彩色画/ペイント	ㄘㄞˇ ㄏㄨㄟˋ / cǎi huì
得知	知る/耳にする	ㄉㄜˊ ㄓ / dé zhī
教會	教会	ㄐㄧㄠˋ ㄏㄨㄟˋ / jiào huì
晚會	パーティー/夜の集い	ㄨㄢˇ ㄏㄨㄟˋ / wǎn huì
球賽	球技の試合	ㄑㄧㄡˊ ㄙㄞˋ / qiú sài
莊嚴	荘厳な	ㄓㄨㄤ ㄧㄢˊ / zhuāng yán
許多人	多くの人	ㄒㄩˇ ㄉㄨㄛ ㄖㄣˊ / xǔ duō rén
通知	通知する/知らせる	ㄊㄨㄥ ㄓ / tōng zhī
通訊	通信	ㄊㄨㄥ ㄒㄩㄣˋ / tōng xùn
最初	最初	ㄗㄨㄟˋ ㄔㄨ / zuì chū
犀牛	サイ	ㄒㄧ ㄋㄧㄡˊ / xī niú
絲毫	少しも/いささかも	ㄙ ㄏㄠˊ / sī háo
萎縮	萎縮する	ㄨㄟ ㄙㄨㄛ / wēi suō
進出	出入りする/進出する	ㄐㄧㄣˋ ㄔㄨ / jìn chū
債券	債券	ㄓㄞˋ ㄑㄩㄢˋ / zhài quàn
傳聞	噂/伝聞	ㄔㄨㄢˊ ㄨㄣˊ / chuán wén
意念	念/思い	ㄧˋ ㄋㄧㄢˋ / yì niàn
新竹縣	新竹県	ㄒㄧㄣ ㄓㄨˊ ㄒㄧㄢˋ / xīn zhú xiàn
極力	極力/全力で	ㄐㄧˊ ㄌㄧˋ / jí lì
溫州	温州	ㄨㄣ ㄓㄡ / wēn zhōu
解脫　	解脱する/解放される	ㄐㄧㄝˇ ㄊㄨㄛ / jiě tuō
跡象	兆候/形跡	ㄐㄧ ㄒㄧㄤˋ / jī xiàng
運輸	運輸/輸送	ㄩㄣˋ ㄕㄨ / yùn shū
過敏	アレルギー/過敏である	ㄍㄨㄛˋ ㄇㄧㄣˇ / guò mǐn
預約	予約する	ㄩˋ ㄩㄝ / yù yuē
