的	~の	ㄉㄜ˙ / de
不	~ない	ㄅㄨˋ / bù
一	一	ㄧ / yī
我	私	ㄨㄛˇ / wǒ
是	~である	ㄕˋ / shì
人	人	ㄖㄣˊ / rén
有	ある	ㄧㄡˇ / yǒu
了	~した	ㄌㄜ˙ / le
大	大きい	ㄉㄚˋ / dà
國	国	ㄍㄨㄛˊ / guó
來	来る	ㄌㄞˊ / lái
生	生まれる	ㄕㄥ / shēng
在	~にある	ㄗㄞˋ / zài
子	子供	ㄗˇ / zǐ
們	~たち	ㄇㄣ˙ / men
中	中	ㄓㄨㄥ / zhōng
上	上	ㄕㄤˋ / shàng
他	彼	ㄊㄚ / tā
時	時	ㄕˊ / shí
小	小さい	ㄒㄧㄠˇ / xiǎo
地	土地	ㄉㄧˋ / dì
出	出る	ㄔㄨ / chū
以	~を以て	ㄧˇ / yǐ
學	学ぶ	ㄒㄩㄝˊ / xué
可	~できる	ㄎㄜˇ / kě
自	自ら	ㄗˋ / zì
這	これ	ㄓㄜˋ / zhè
會	~できる	ㄏㄨㄟˋ / huì
成	成る	ㄔㄥˊ / chéng
家	家	ㄐㄧㄚ / jiā
到	到着する	ㄉㄠˋ / dào
為	~のため	ㄨㄟˋ / wèi
天	天	ㄊㄧㄢ / tiān
心	心	ㄒㄧㄣ / xīn
年	年	ㄋㄧㄢˊ / nián
然	しかるに	ㄖㄢˊ / rán
要	要る	ㄧㄠˋ / yào
得	得る	ㄉㄜˊ / dé
說	言う	ㄕㄨㄛ / shuō
過	過ぎる	ㄍㄨㄛˋ / guò
個	個	ㄍㄜˋ / gè
著	~している	ㄓㄜ˙ / zhe
能	~できる	ㄋㄥˊ / néng
下	下	ㄒㄧㄚˋ / xià
動	動く	ㄉㄨㄥˋ / dòng
發	発する	ㄈㄚ / fā
臺	台湾	ㄊㄞˊ / tái
麼	~という	ㄇㄜ˙ / me
車	車	ㄔㄜ / chē
那	それ	ㄋㄚˋ / nà
行	行く	ㄒㄧㄥˊ / xíng
經	経る	ㄐㄧㄥ / jīng
去	行く	ㄑㄩˋ / qù
好	良い	ㄏㄠˇ / hǎo
開	開く	ㄎㄞ / kāi
現	現れる	ㄒㄧㄢˋ / xiàn
就	すぐに	ㄐㄧㄡˋ / jiù
作	作る	ㄗㄨㄛˋ / zuò
後	後	ㄏㄡˋ / hòu
多	多い	ㄉㄨㄛ / duō
方	方向	ㄈㄤ / fāng
如	もし	ㄖㄨˊ / rú
事	事	ㄕˋ / shì
公	おおやけ	ㄍㄨㄥ / gōng
看	見る	ㄎㄢˋ / kàn
也	~もまた	ㄧㄝˇ / yě
長	長い	ㄔㄤˊ / cháng
面	面	ㄇㄧㄢˋ / miàn
力	力	ㄌㄧˋ / lì
起	起きる	ㄑㄧˇ / qǐ
裡	裏	ㄌㄧˇ / lǐ
高	高い	ㄍㄠ / gāo
用	用いる	ㄩㄥˋ / yòng
業	業	ㄧㄝˋ / yè
你	あなた	ㄋㄧˇ / nǐ
因	因る	ㄧㄣ / yīn
而	しかして	ㄦˊ / ér
分	分ける	ㄈㄣ / fēn
市	市	ㄕˋ / shì
於	~において	ㄩˊ / yú
道	道	ㄉㄠˋ / dào
外	外	ㄨㄞˋ / wài
沒	ない	ㄇㄟˊ / méi
無	無い	ㄨˊ / wú
同	同じ	ㄊㄨㄥˊ / tóng
法	法	ㄈㄚˇ / fǎ
前	前	ㄑㄧㄢˊ / qián
水	水	ㄕㄨㄟˇ / shuǐ
電	電気	ㄉㄧㄢˋ / diàn
民	民	ㄇㄧㄣˊ / mín
對	対する	ㄉㄨㄟˋ / duì
兒	子供	ㄦˊ / ér
日	日	ㄖˋ / rì
之	~の	ㄓ / zhī
文	文	ㄨㄣˊ / wén
當	当たる	ㄉㄤ / dāng
教	教える	ㄐㄧㄠ / jiāo
新	新しい	ㄒㄧㄣ / xīn
意	意味	ㄧˋ / yì
情	感情	ㄑㄧㄥˊ / qíng
所	ところ	ㄙㄨㄛˇ / suǒ
實	本当の	ㄕˊ / shí
工	仕事	ㄍㄨㄥ / gōng
全	全て	ㄑㄩㄢˊ / quán
定	定める	ㄉㄧㄥˋ / dìng
美	美しい	ㄇㄟˇ / měi
理	理屈	ㄌㄧˇ / lǐ
頭	頭	ㄊㄡˊ / tóu
本	本	ㄅㄣˇ / běn
明	明るい	ㄇㄧㄥˊ / míng
氣	気	ㄑㄧˋ / qqì
進	進む	ㄐㄧㄣˋ / jìn
樣	様子	ㄧㄤˋ / yàng
都	全て	ㄉㄡ / dōu
主	主な	ㄓㄨˇ / zhǔ
間	間	ㄐㄧㄢ / jiān
老	老いる	ㄌㄠˇ / lǎo
想	思う	ㄒㄧㄤˇ / xiǎng
重	重い	ㄓㄨㄥˋ / zhòng
體	体	ㄊㄧˇ / tǐ
山	山	ㄕㄢ / shān
物	物	ㄨˋ / wù
知	知る	ㄓ / zhī
手	手	ㄕㄡˇ / shǒu
相	互いに	ㄒㄧㄤ / xiāng
回	回る	ㄏㄨㄟˊ / huí
性	性質	ㄒㄧㄥˋ / xìng
果	果実	ㄍㄨㄛˇ / guǒ
政	政治	ㄓㄥˋ / zhèng
