領	領収する	ㄌㄧㄥˇ / lǐng
錢	お金	ㄑㄧㄢˊ / qián
案	案件	ㄢˋ / àn
驗	検査する	ㄧㄢˋ / yàn
勢	勢い	ㄕˋ / shì
奇	奇妙な	ㄑㄧˊ / qí
黑	黒い	ㄏㄟ / hēi
並	並ぶ	ㄅㄧㄥˋ / bìng
百	百	ㄅㄞˇ / bǎi
規	規則	ㄍㄨㄟ / guī
顯	明らか	ㄒㄧㄢˇ / xiǎn
具	備える	ㄐㄩˋ / jù
萬	万	ㄨㄢˋ / wàn
存	存在する	ㄘㄨㄣˊ / cún
底	底	ㄉㄧˇ / dǐ
將	まさに〜しようとする	ㄐㄧㄤ / jiāng
圖	図	ㄊㄨˊ / tú
晚	晩	ㄨㄢˇ / wǎn
歷	経歴	ㄌㄧˋ / lì
詩	詩	ㄕ / shī
低	低い	ㄉㄧ / dī
拉	引く	ㄌㄚ / lā
座	座	ㄗㄨㄛˋ / zuò
春	春	ㄔㄨㄣ / chūn
約	およそ	ㄩㄝ / yuē
希	希望する	ㄒㄧ / xī
假	偽の	ㄐㄧㄚˇ / jiǎ
預	あらかじめ	ㄩˋ / yù
官	役人	ㄍㄨㄢ / guān
似	似ている	ㄙˋ / sì
獨	独り	ㄉㄨˊ / dú
增	増える	ㄗㄥ / zēng
即	すなわち	ㄐㄧˊ / jí
坐	座る	ㄗㄨㄛˋ / zuò
木	木	ㄇㄨˋ / mù
鄉	郷	ㄒㄧㄤ / xiāng
首	首	ㄕㄡˇ / shǒu
找	探す	ㄓㄠˇ / zhǎo
刻	刻む	ㄎㄜˋ / kè
爾	爾	ㄦˇ / ěr
需	必要とする	ㄒㄩ / xū
草	草	ㄘㄠˇ / cǎo
久	久しい	ㄐㄧㄡˇ / jiǔ
五	五	ㄨˇ / wǔ
戲	芝居	ㄒㄧˋ / xì
室	部屋	ㄕˋ / shì
局	局	ㄐㄩˊ / jú
絕	絶対に	ㄐㄩㄝˊ / jué
確	確か	ㄑㄩㄝˋ / què
續	続く	ㄒㄩˋ / xù
率	率	ㄌㄩˋ / lǜ
效	効果	ㄒㄧㄠˋ / xiào
油	油	ㄧㄡˊ / yóu
留	留まる	ㄌㄧㄡˊ / liú
克	グラム	ㄎㄜˋ / kè
例	例	ㄌㄧˋ / lì
溫	温かい	ㄨㄣ / wēn
衣	服	ㄧ / yī
里	里	ㄌㄧˇ / lǐ
班	クラス	ㄅㄢ / bān
洲	大陸	ㄓㄡ / zhōu
證	証明する	ㄓㄥˋ / zhèng
嚴	厳しい	ㄧㄢˊ / yán
組	組織する	ㄗㄨˇ / zǔ
況	状況	ㄎㄨㄤˋ / kuàng
裝	装う	ㄓㄨㄤ / zhuāng
值	価値	ㄓˊ / zhí
極	極めて	ㄐㄧˊ / jí
亮	明るい	ㄌㄧㄤˋ / liàng
味	味	ㄨㄟˋ / wèi
令	命じる	ㄌㄧㄥˋ / lìng
須	すべからく〜すべし	ㄒㄩ / xū
廠	工場	ㄔㄤˇ / chǎng
弟	弟	ㄉㄧˋ / dì
港	港	ㄍㄤˇ / gǎng
護	護る	ㄏㄨˋ / hù
願	願う	ㄩㄢˋ / yuàn
哥	兄	ㄍㄜ / gē
腳	足	ㄐㄧㄠˇ / jiǎo
料	材料	ㄌㄧㄠˋ / liào
則	法則	ㄗㄜˊ / zé
銀	銀	ㄧㄣˊ / yín
查	調べる	ㄔㄚˊ / chá
習	習う	ㄒㄧˊ / xí
製	製造する	ㄓˋ / zhì
雄	雄	ㄒㄩㄥˊ / xióng
健	健やか	ㄐㄧㄢˋ / jiàn
訴	訴える	ㄙㄨˋ / sù
注	注ぐ	ㄓㄨˋ / zhù
痛	痛い	ㄊㄨㄥˋ / tòng
血	血	ㄒㄧㄝˇ / xiě
狀	状態	ㄓㄨㄤˋ / zhuàng
登	登る	ㄉㄥ / dēng
越	越える	ㄩㄝˋ / yuè
族	族	ㄗㄨˊ / zú
龍	龍	ㄌㄨㄥˊ / lóng
省	省く	ㄕㄥˇ / shěng
級	級	ㄐㄧˊ / jí
葉	葉	ㄧㄝˋ / yè
跟	〜と	ㄍㄣ / gēn
劇	劇	ㄐㄩˋ / jù
蘭	蘭	ㄌㄢˊ / lán
異	異なる	ㄧˋ / yì
趣	趣	ㄑㄩˋ / qù
魚	魚	ㄩˊ / yú
職	職	ㄓˊ / zhí
請	どうぞ〜してください	ㄑㄧㄥˇ / qǐng
居	居る	ㄐㄩ / jū
源	源	ㄩㄢˊ / yuán
隨	従う	ㄙㄨㄟˊ / suí
優	優れる	ㄧㄡ / yōu
李	李	ㄌㄧˇ / lǐ
配	配る	ㄆㄟˋ / pèi
舞	舞う	ㄨˇ / wǔ
險	険しい	ㄒㄧㄢˇ / xiǎn
破	破れる	ㄆㄛˋ / pò
壓	押さえる	ㄧㄚ / yā
防	防ぐ	ㄈㄤˊ / fáng
股	股	ㄍㄨˇ / gǔ
歌	歌	ㄍㄜ / gē
列	列	ㄌㄧㄝˋ / liè
農	農	ㄋㄨㄥˊ / nóng
般	一般の	ㄅㄢ / bān
