絲	糸	ㄙ / sī
兵	兵	ㄅㄧㄥ / bīng
患	患う	ㄏㄨㄢˋ / huàn
餘	余り	ㄩˊ / yú
飲	飲む	ㄧㄣˇ / yǐn
央	中央	ㄧㄤ / yāng
閒	暇	ㄒㄧㄢˊ / xián
暗	暗い	ㄢˋ / àn
鮮	鮮やか	ㄒㄧㄢ / xiān
冬	冬	ㄉㄨㄥ / dōng
績	成績	ㄐㄧ / jī
武	武	ㄨˇ / wǔ
觸	触れる	ㄔㄨˋ / chù
章	章	ㄓㄤ / zhāng
頓	頓	ㄉㄨㄣˋ / dùn
榮	栄える	ㄖㄨㄥˊ / róng
緣	縁	ㄩㄢˊ / yuán
髮	髪	ㄈㄚˇ / fǎ
融	溶ける	ㄖㄨㄥˊ / róng
鎮	鎮める	ㄓㄣˋ / zhèn
努	努める	ㄋㄨˇ / nǔ
奧	奥	ㄠˋ / ào
播	播く	ㄅㄛ / bō
途	途	ㄊㄨˊ / tú
哈	ハハハ	ㄏㄚ / hā
佳	佳い	ㄐㄧㄚ / jiā
築	築く	ㄓㄨˊ / zhú
醒	目覚める	ㄒㄧㄥˇ / xǐng
桃	桃	ㄊㄠˊ / táo
床	ベッド	ㄔㄨㄤˊ / chuáng
巧	巧みな	ㄑㄧㄠˇ / qiǎo
珠	珠	ㄓㄨ / zhū
淚	涙	ㄌㄟˋ / lèi
煩	煩わしい	ㄈㄢˊ / fán
牆	壁	ㄑㄧㄤˊ / qiáng
索	索	ㄙㄨㄛˇ / suǒ
遍	あまねく	ㄅㄧㄢˋ / biàn
亡	亡くなる	ㄨㄤˊ / wáng
脫	脱ぐ	ㄊㄨㄛ / tuō
豆	豆	ㄉㄡˋ / dòu
述	述べる	ㄕㄨˋ / shù
殘	残る	ㄘㄢˊ / cán
付	付する	ㄈㄨˋ / fù
聖	聖なる	ㄕㄥˋ / shèng
妻	妻	ㄑㄧ / qī
隱	隠す	ㄧㄣˇ / yǐn
喝	飲む	ㄏㄜ / hē
漢	漢	ㄏㄢˋ / hàn
釋	釈する	ㄕˋ / shì
秀	秀でる	ㄒㄧㄡˋ / xiù
俗	俗	ㄙㄨˊ / sú
哪	どれ	ㄋㄚˇ / nǎ
敢	敢えて	ㄍㄢˇ / gǎn
距	隔たる	ㄐㄩˋ / jù
瓜	瓜	ㄍㄨㄚ / guā
淨	清らか	ㄐㄧㄥˋ / jìng
縮	縮む	ㄙㄨㄛ / suō
禁	禁じる	ㄐㄧㄣˋ / jìn
固	固い	ㄍㄨˋ / gù
抽	引く	ㄔㄡ / chōu
揚	揚げる	ㄧㄤˊ / yáng
概	概ね	ㄍㄞˋ / gài
燒	焼く	ㄕㄠ / shāo
尊	尊い	ㄗㄨㄣ / zūn
憶	憶う	ㄧˋ / yì
米	米	ㄇㄧˇ / mǐ
忍	忍ぶ	ㄖㄣˇ / rěn
孔	孔	ㄎㄨㄥˇ / kǒng
哭	泣く	ㄎㄨ / kū
呀	ああっ	ㄧㄚ / yā
尾	尾	ㄨㄟˇ / wěi
佛	仏	ㄈㄛˊ / fó
暴	暴れる	ㄅㄠˋ / bào
珍	珍しい	ㄓㄣ / zhēn
幣	貨幣	ㄅㄧˋ / bì
括	括る	ㄍㄨㄚ / guā
航	航行する	ㄏㄤˊ / háng
域	域	ㄩˋ / yù
跡	跡	ㄐㄧ / jī
攝	摂する	ㄕㄜˋ / shè
互	互い	ㄏㄨˋ / hù
培	培う	ㄆㄟˊ / péi
楚	楚	ㄔㄨˇ / chǔ
擴	拡げる	ㄎㄨㄛˋ / kuò
祖	祖	ㄗㄨˇ / zǔ
啟	開く	ㄑㄧˇ / qǐ
漫	漫然と	ㄇㄢˋ / màn
衝	衝く	ㄔㄨㄥ / chōng
尺	尺	ㄔˇ / chǐ
掛	掛ける	ㄍㄨㄚˋ / guà
訂	訂する	ㄉㄧㄥˋ / dìng
針	針	ㄓㄣ / zhēn
握	握る	ㄨㄛˋ / wò
詞	詞	ㄘˊ / cí
藍	青い	ㄌㄢˊ / lán
架	架ける	ㄐㄧㄚˋ / jià
爺	お爺さん	ㄧㄝˊ / yé
桌	机	ㄓㄨㄛ / zhuō
壁	壁	ㄅㄧˋ / bì
謂	謂う	ㄨㄟˋ / wèi
幅	幅	ㄈㄨˊ / fú
箱	箱	ㄒㄧㄤ / xiāng
伸	伸ばす	ㄕㄣ / shēn
延	延ばす	ㄧㄢˊ / yán
妙	妙なる	ㄇㄧㄠˋ / miào
挑	挑む	ㄊㄧㄠ / tiāo
泥	泥	ㄋㄧˊ / ní
炎	炎	ㄧㄢˊ / yán
拜	拝する	ㄅㄞˋ / bài
胞	細胞	ㄅㄠ / bāo
隔	隔てる	ㄍㄜˊ / gé
唯	ただ	ㄨㄟˊ / wéi
封	封じる	ㄈㄥ / fēng
胡	胡	ㄏㄨˊ / hú
慮	慮る	ㄌㄩˋ / lǜ
份	分け前	ㄈㄣˋ / fèn
仔	仔	ㄗˇ / zǐ
敬	敬う	ㄐㄧㄥˋ / jìng
懂	分かる	ㄉㄨㄥˇ / dǒng
核	核	ㄏㄜˊ / hé
偏	偏る	ㄆㄧㄢ / piān
媒	媒介する	ㄇㄟˊ / méi
滋	滋養	ㄗ / zī
刊	刊する	ㄎㄢ / kān
版	版	ㄅㄢˇ / bǎn
冠	冠	ㄍㄨㄢ / guān
疾	疾い	ㄐㄧˊ / jí
偶	偶	ㄡˇ / ǒu
刺	刺す	ㄘˋ / cì
乘	乗る	ㄔㄥˊ / chéng
授	授ける	ㄕㄡˋ / shòu
峰	峰	ㄈㄥ / fēng
慧	慧い	ㄏㄨㄟˋ / huì
蓮	蓮	ㄌㄧㄢˊ / lián
鬧	騒がしい	ㄋㄠˋ / nào
束	束ねる	ㄕㄨˋ / shù
副	副	ㄈㄨˋ / fù
荷	荷	ㄏㄜˊ / hé
宗	宗	ㄗㄨㄥ / zōng
脈	脈	ㄇㄞˋ / mài
慣	慣れる	ㄍㄨㄢˋ / guàn
璃	ガラス	ㄌㄧˊ / lí
奮	奮う	ㄈㄣˋ / fèn
閃	閃く	ㄕㄢˇ / shǎn
齊	斉しい	ㄑㄧˊ / qí
震	震える	ㄓㄣˋ / zhèn
蘇	蘇る	ㄙㄨ / sū
丹	丹	ㄉㄢ / dān
塞	塞ぐ	ㄙㄞ / sāi
貝	貝	ㄅㄟˋ / bèi
誌	誌	ㄓˋ / zhì
摩	摩する	ㄇㄛˊ / mó
寬	広い	ㄎㄨㄢ / kuān
厚	厚い	ㄏㄡˋ / hòu
劉	劉	ㄌㄧㄡˊ / liú
含	含む	ㄏㄢˊ / hán
尚	尚	ㄕㄤˋ / shàng
靠	靠れる	ㄎㄠˋ / kào
析	析する	ㄒㄧ / xī
狗	犬	ㄍㄡˇ / gǒu
偷	盗む	ㄊㄡ / tōu
祕	秘密	ㄇㄧˋ / mì
駕	駕する	ㄐㄧㄚˋ / jià
辛	辛い	ㄒㄧㄣ / xīn
液	液体	ㄧㄝˋ / yè
審	審らか	ㄕㄣˇ / shěn
項	項	ㄒㄧㄤˋ / xiàng
穩	穏やか	ㄨㄣˇ / wěn
伴	伴う	ㄅㄢˋ / bàn
壯	壮	ㄓㄨㄤˋ / zhuàng
惜	惜しむ	ㄒㄧ / xī
爬	登る	ㄆㄚˊ / pá
替	替わる	ㄊㄧˋ / tì
雅	雅	ㄧㄚˇ / yǎ
駛	駛せる	ㄕˇ / shǐ
伊	伊	ㄧ / yī
均	均しい	ㄐㄩㄣ / jūn
映	映す	ㄧㄥˋ / yìng
棄	棄てる	ㄑㄧˋ / qì
蓋	蓋	ㄍㄞˋ / gài
誠	誠	ㄔㄥˊ / chéng
誤	誤る	ㄨˋ / wù
楊	楊	ㄧㄤˊ / yáng
溪	谷川	ㄒㄧ / xī
申	申す	ㄕㄣ / shēn
晨	朝	ㄔㄣˊ / chén
蛋	卵	ㄉㄢˋ / dàn
折	折る	ㄓㄜˊ / zhé
純	純	ㄔㄨㄣˊ / chún
鬼	鬼	ㄍㄨㄟˇ / guǐ
宇	宇	ㄩˇ / yǔ
森	森	ㄙㄣ / sēn
憂	憂える	ㄧㄡ / yōu
套	套	ㄊㄠˋ / tào
灰	灰	ㄏㄨㄟ / huī
輸	負ける	ㄕㄨ / shū
欣	喜ぶ	ㄒㄧㄣ / xīn
軟	軟らかい	ㄖㄨㄢˇ / ruǎn
塑	塑する	ㄙㄨˋ / sù
顏	顔	ㄧㄢˊ / yán
判	判じる	ㄆㄢˋ / pàn
袋	袋	ㄉㄞˋ / dài
幹	幹	ㄍㄢˋ / gàn
塔	塔	ㄊㄚˇ / tǎ
勇	勇む	ㄩㄥˇ / yǒng
柔	柔かい	ㄖㄡˊ / róu
週	週	ㄓㄡ / zhōu
載	載せる	ㄗㄞˋ / zài
雷	雷	ㄌㄟˊ / léi
吉	吉	ㄐㄧˊ / jí
批	批する	ㄆㄧ / pī
玻	ガラス	ㄅㄛ / bō
貿	貿する	ㄇㄠˋ / mào
旦	旦	ㄉㄢˋ / dàn
硬	硬い	ㄧㄥˋ / yìng
席	席	ㄒㄧˊ / xí
祥	祥	ㄒㄧㄤˊ / xiáng
茂	茂る	ㄇㄠˋ / mào
寧	寧ろ	ㄋㄧㄥˊ / níng
叔	叔父	ㄕㄨˊ / shú
複	複	ㄈㄨˋ / fù
誕	誕生する	ㄉㄢˋ / dàn
乏	乏しい	ㄈㄚˊ / fá
愈	愈々	ㄩˋ / yù
犯	犯す	ㄈㄢˋ / fàn
孫	孫	ㄙㄨㄣ / sūn
橫	横	ㄏㄥˊ / héng
舒	心地よい	ㄕㄨ / shū
凡	凡て	ㄈㄢˊ / fán
飾	飾る	ㄕˋ / shì
繁	繁	ㄈㄢˊ / fán
朗	朗らか	ㄌㄤˇ / lǎng
暑	暑い	ㄕㄨˇ / shǔ
潔	潔い	ㄐㄧㄝˊ / jié
仙	仙	ㄒㄧㄢ / xiān
肥	肥える	ㄈㄟˊ / féi
貼	貼る	ㄊㄧㄝ / tiē
溝	溝	ㄍㄡ / gōu
鼻	鼻	ㄅㄧˊ / bí
孤	孤	ㄍㄨ / gū
宙	宙	ㄓㄡˋ / zhòu
輔	輔ける	ㄈㄨˇ / fǔ
鞋	靴	ㄒㄧㄝˊ / xié
鋼	鋼	ㄍㄤ / gāng
廢	廃する	ㄈㄟˋ / fèi
沿	沿う	ㄧㄢˊ / yán
